order_id,customer_id,order_date,channel,status,payment_method
30861,1116,2024-08-11,Web,Completed,Card
30881,1026,14/11/2024,Web,Pending,Bank Transfer
30875,unknown,11/06/2024,Web,,Card
30781,1060,01-25-2024,App,Completed,Bank Transfer
30526,1068,26/08/2024,Web,Completed,Card
30007,1014,01-03-2025,App, complete ,Wallet
30686,1015,21/03/2025,App,Completed,Bank Transfer
30196,1119,25/11/2024,Web,Completed,Wallet
30652,1074,20/05/2024,App,Completed,Cash
30364,1056,09-05-2024,Web,Completed,Card
30018,1011,06-21-2024,App,Completed,Bank Transfer
30224,1080,04-01-2024,App,Completed,Wallet
30836,1023,2024-07-06,Store,Cancelled,Cash
30749,1113,2025-02-22,Web,,Cash
30601,1114,26/04/2024,Web,Completed,Cash
30856,1033,07-24-2024,Web,Completed,Card
30859,1076,10-21-2024,App,,Bank Transfer
30737,1025,17/09/2024,App,Completed,Card
30449,1050,04/01/2024,Store,Completed,Wallet
30868,1109,25/12/2024,Web,,Bank Transfer
30004,1120,30/11/2024,App,Completed,Bank Transfer
30802,1102,08-11-2024,Web,Completed,Wallet
30415,1073,2025-02-25,Web,Completed,Bank Transfer
30624,1078,05-10-2024,App,Cancelled,Card
30595,unknown,2024-10-08,Web,Completed,Wallet
30409,1108,13/07/2024,App,,Card
30434,1020,2024-07-27,Web,Completed,Wallet
30447,1111,10-04-2024,Web,Completed,Card
30182,unknown,05-09-2024,App,Completed,Wallet
30340,1109,02-16-2025,Web,Completed,Bank Transfer
30671,1044,09-22-2024,App,Completed,Wallet
30310,1039,08-02-2024,Web,Completed,Wallet
30035,1099,11-15-2024,Store,Completed,Wallet
30003,1090,04/01/2024,App,Completed,Cash
30632,1111,2025-01-10,Web,Cancelled,Card
30453,1084,18/04/2024,Web,Completed,Card
30149,1089,2025-03-16,Web,Returned,Cash
30734,1078,2025-01-10,App,Completed,Wallet
30799,1087,2024-04-23,Store,Cancelled,Card
30383,1005,02-01-2025,Web,Completed,Bank Transfer
30609,1080,03-22-2024,Web,Completed,Wallet
30429,unknown,04-29-2024,Web,Completed,Cash
30014,1052,2024-07-21,Store,Returned,Cash
30711,1055,2024-11-28,Web,Completed,Card
30887,1022,2024-10-04,Web,Completed,Wallet
30822,1062,28/02/2024,App,Completed,Bank Transfer
30188,1038,10-18-2024,Web,Completed,Bank Transfer
30681,1086,05-21-2024,App,Completed,Card
30468,1096,06-13-2024,Web,Pending,Cash
30797,1070,10/10/2024,App,Completed,Bank Transfer
30712,1114,13/08/2024,App,Completed,Card
30181,1033,21/06/2024,Store,Returned,Wallet
30872,1002,2025-03-23,App,Completed,Bank Transfer
30074,1034,29/11/2024,Store,Completed,Wallet
30315,1118,2024-11-13,App,Completed,Card
30524,unknown,2024-09-06,Web,Completed,Cash
30693,1049,02-02-2025,App,Pending,Cash
30085,1080,02-29-2024,App,Returned,Card
30465,1119,25/02/2025,Web,Pending,Bank Transfer
30532,unknown,2024-12-30,App,Returned,Cash
30522,1077,2024-11-07,App,Pending,Bank Transfer
30683,1009,2024-06-06,Web,Completed,Card
30009,1047,03-10-2025,Web,Completed,Wallet
30263,1037,08-31-2024,App,Completed,Wallet
30057,1092,11-14-2024,App,Completed,Bank Transfer
30888,1043,07-14-2024,Store,Completed,Card
30619,1021,05-31-2024,App,Completed,Bank Transfer
30559,1049,02-13-2024,Web,Completed,Wallet
30369,1031,06/04/2024,App,Completed,Wallet
30854,1103,21/12/2024,App,Completed,Card
30176,1097,17/09/2024,Web,Returned,Cash
30747,1039,01/03/2024,Web,Returned,Cash
30060,1047,2024-09-29,Web,Completed,Card
30302,1117,03-03-2024,App,Returned,Card
30373,unknown,10-17-2024,App,Pending,Bank Transfer
30689,1042,07/03/2025,App,Completed,Card
30195,1106,2024-09-10,App,Completed,Cash
30662,1042,13/11/2024,App,Completed,Wallet
30804,1035,12-14-2024,App,Completed,Bank Transfer
30112,1025,21/10/2024,Web,Completed,Card
30118,1084,2025-02-25,Web,Pending,Bank Transfer
30717,1108,02-28-2024,Web,Completed,Card
30738,1002,2024-02-23,App,Completed,Cash
30082,1018,22/10/2024,App,Completed,Bank Transfer
30160,1076,05-02-2024,Web,Completed,Bank Transfer
30143,1111,2024-10-15,Web,Completed,Cash
30102,1093,2025-02-13,Web,Completed,Cash
30838,1115,2024-05-12,Web,Completed,Card
30878,1052,03-14-2024,Web,Completed,Bank Transfer
30259,1070,06-02-2024,App,Completed,Card
30202,1067,29/10/2024,Store,Completed,Wallet
30530,1004,02/12/2024,Web,Completed,Cash
30321,1021,10-12-2024,Web,Completed,Bank Transfer
30639,1030,2024-01-16,App,Completed,Wallet
30051,1075,01-20-2025,Web,Completed,Wallet
30495,1068,11-05-2024,App, complete ,Cash
30256,1051,03-11-2025,Web,Completed,Wallet
30673,1045,02-12-2025,Web,Returned,Cash
30482,1114,07/04/2024,App,Completed,Bank Transfer
30839,1104,22/08/2024,App,Completed,Bank Transfer
30299,1096,2024-05-27,Store,Cancelled,Card
30206,1073,01-30-2025,Web, complete ,Wallet
30387,1076,01-07-2024,Web,Completed,Bank Transfer
30742,1085,09/01/2024,Web, complete ,Card
30528,1102,14/08/2024,Web,Completed,Cash
30155,1086,07-14-2024,Web,Completed,Cash
30203,unknown,11/12/2024,App,Pending,Wallet
30091,1017,08-16-2024,App,Returned,Cash
30234,1014,2025-02-10,App,Completed,Bank Transfer
30542,1001,2024-03-01,App,Completed,Wallet
30190,1090,2024-10-25,App,Completed,Card
30342,1062,12-24-2024,Web, complete ,Cash
30481,1030,16/06/2024,Store,Completed,Card
30635,1008,2025-02-12,Web,Cancelled,Card
30372,1067,02-21-2025,App,Completed,Card
30633,1028,2024-01-04,Web,Completed,Cash
30229,1026,2024-01-29,App,Completed,Bank Transfer
30805,1098,24/04/2024,Web,Completed,Bank Transfer
30048,1078,02-10-2025,App,Completed,Bank Transfer
30412,1114,20/01/2024,App,Completed,Bank Transfer
